,S.No.,Station_name,District/RO,Monitoring_date,pH,TA,Cl,Ca,Mg,Sulphate,Na,TDS,K,F,wqi,quality
16,17,"River Thungabhadra at
Manthralayam","Kurnool/Kur
nool",07.07.2018,7.8,198.0,199.0,126.0,106.0,240.0,221.0,887.0,6.0,0.8,78.94825230576834,Very poor
17,18,"River Hundri atLaxmipuram
village Dried","Kurnool/Kur
nool",09.07.2018,7.7,342.0,1016.0,427.0,768.0,465.0,453.0,2674.0,21.0,1.4,162.48832838309625,Not suitable
18,19,River Kundu at Nandyal,"Kurnool/Kur
nool",09.07.2018,7.4,338.0,227.0,179.0,138.0,115.0,194.0,884.0,15.0,1.1,107.21954249387736,Not suitable
19,20,D/s. of Srishailam,"Kurnool/Kur
nool",07.07.2018,7.9,152.0,68.0,94.0,65.0,72.0,72.0,374.0,4.0,0.07,17.572407899536245,Excellent
20,21,River Godavari at Polavaram,"West
Godavari /
Eluru",16.07.2018,6.49,88.0,24.0,56.0,40.0,16.0,5.0,160.0,1.0,0.77,61.10951227137721,Poor
21,22,"U/s of River Godavari at
Rajahmundry (Kumaradevam)","West
Godavari /
Eluru",16.07.2018,6.74,96.0,25.0,56.0,36.0,10.0,7.0,156.0,1.0,0.85,68.93545255588558,Poor
22,23,"D/s of River Godavari at
Rajahmundry (Dhavaleswaram)","East
Godavari /
Kakinada",11.07.2018,7.45,92.0,14.0,50.0,30.0,14.0,6.0,142.0,1.0,0.57,50.75233078005314,Poor
23,24,"River Nagavali at Thotapally
Regulatory","Vizianagara
m /
Vizianagara",10.07.2018,7.69,176.0,24.0,80.0,40.0,11.0,14.0,210.0,2.0,0.15,20.28031368870825,Excellent
24,25,"River Vamsadhara at Gara,
Kalingapatnam","Vizianagara
m",10.07.2018,6.94,160.0,54.0,90.0,80.0,20.0,36.0,356.0,2.0,0.1,13.129969256422285,Excellent
25,26,"Kondakarla-Ava Lake,
Kondakarla","Visakhapatn
am",07.07.2018,7.66,280.0,181.0,140.0,80.0,16.0,94.0,580.0,4.0,0.67,65.4743192121307,Poor
26,27,"Tulje bagh canal, Tekri drain",Kakinada,11.07.2018,7.54,260.0,2247.0,980.0,550.0,158.0,960.0,4890.0,34.0,0.19,75.83639205877756,Very poor
27,28,"River Godavari at Rajahmundry
U/s of Nalla channel","East
Godavari /
Kakinada",11.07.2018,7.77,92.0,15.0,40.0,40.0,16.0,8.0,196.0,1.16,0.78,69.78627481632014,Poor
28,29,"River Godavari at Rajahmundry
D/s of Nalla channel","East
Godavari /
Kakinada",11.07.2018,7.54,88.0,24.0,40.0,40.0,12.0,10.0,154.0,2.0,0.44,41.6957042363608,Good
29,30,"Tulia bagh drain at
Vemulavada","East
Godavari",11.07.2018,7.57,190.0,1473.0,950.0,330.0,119.0,439.0,3180.0,30.0,0.34,75.56682872179667,Very poor
30,31,"Outlet of STP on river Godavari
at Rajahmundry","East
Godavari",11.07.2018,7.51,128.0,15.0,50.0,50.0,15.0,8.0,172.0,1.2,0.32,32.03267364910635,Good
31,32,Samarla kota canal,Kakinada,11.07.2018,7.56,166.0,80.0,130.0,50.0,28.0,33.0,336.0,7.0,0.15,23.414460424157156,Excellent
32,33,Inlet of STP at Rajahmundry,"East
Godavari",11.07.2018,6.91,200.32258064516128,1004.483870967742,166.6451612903226,154.1290322580645,204.25806451612902,562.1612903225806,820.0,15.947096774193549,0.6148387096774195,67.88437242928055,Poor
33,34,Outlet of STP at Rajahmundry,"East
Godavari",11.07.2018,6.87,200.32258064516128,1004.483870967742,166.6451612903226,154.1290322580645,204.25806451612902,562.1612903225806,580.0,15.947096774193549,0.6148387096774195,67.55771931063117,Poor
